MESHTERM	1963-1974	1975-1988	1989-1994	1995-2001	2002-2008	2009-2015
Glaucoma	0	0	0	2	2	2
Hospital Bed Capacity	0	0	0	2	2	2
Injections, Intra-Articular	0	0	0	2	2	2
Insurance Coverage	0	0	0	2	2	2
Monte Carlo Method	0	0	0	2	2	2
Neoplasm Staging	0	0	0	2	2	2
Occupational Therapy	0	0	0	2	2	2
Opioid-Related Disorders	0	0	0	2	2	2
Schools	0	0	0	2	2	2
Survivors	0	0	0	2	2	2
Whistleblowing	0	0	0	2	2	2
Zimbabwe	0	0	0	2	2	2
Ethics, Institutional	0	2	4	0	2	2
Hospices	0	2	4	0	2	2
Psychoanalysis	0	6	2	0	2	2
Cancer Care Facilities	0	2	2	0	2	2
Chemistry, Clinical	0	2	2	0	2	2
Catalogs as Topic	0	0	2	0	2	2
Defense Mechanisms	0	0	2	0	2	2
Institutional Management Teams	0	0	2	0	2	2
Linguistics	0	0	2	0	2	2
Mississippi	0	0	2	0	2	2
Neurologic Examination	0	0	2	0	2	2
Sensitivity Training Groups	0	0	2	0	2	2
Aspirin	0	2	0	0	2	2
Association	0	2	0	0	2	2
Cues	0	2	0	0	2	2
Drug Interactions	0	2	0	0	2	2
Geriatric Nursing	0	2	0	0	2	2
Germany, East	0	2	0	0	2	2
Health Planning Guidelines	0	2	0	0	2	2
Hospital Shared Services	0	2	0	0	2	2
Iraq	0	2	0	0	2	2
Rectal Neoplasms	0	2	0	0	2	2
Shoulder	0	2	0	0	2	2
Vaccination	0	2	0	0	2	2
Accidental Falls	0	0	0	0	2	2
Agriculture	0	0	0	0	2	2
Antipsychotic Agents	0	0	0	0	2	2
Athletic Injuries	0	0	0	0	2	2
Behavior, Addictive	0	0	0	0	2	2
Biliary Tract Surgical Procedures	0	0	0	0	2	2
Biological Evolution	0	0	0	0	2	2
Blood Specimen Collection	0	0	0	0	2	2
Body Mass Index	0	0	0	0	2	2
Brachial Plexus	0	0	0	0	2	2
Calibration	0	0	0	0	2	2
Child Advocacy	0	0	0	0	2	2
Cognitive Therapy	0	0	0	0	2	2
Contracts	0	0	0	0	2	2
Craniotomy	0	0	0	0	2	2
Deafness	0	0	0	0	2	2
Defibrillators	0	0	0	0	2	2
Delivery, Obstetric	0	0	0	0	2	2
Democracy	0	0	0	0	2	2
Dose-Response Relationship, Drug	0	0	0	0	2	2
Drug Therapy, Combination	0	0	0	0	2	2
Employee Incentive Plans	0	0	0	0	2	2
Ethics Committees	0	0	0	0	2	2
Federal Government	0	0	0	0	2	2
Fuzzy Logic	0	0	0	0	2	2
Gastrointestinal Hemorrhage	0	0	0	0	2	2
Genomics	0	0	0	0	2	2
Health Education, Dental	0	0	0	0	2	2
Health Educators	0	0	0	0	2	2
Hospitals, Private	0	0	0	0	2	2
Hydroxymethylglutaryl-CoA Reductase Inhibitors	0	0	0	0	2	2
Hypersensitivity	0	0	0	0	2	2
Infant Mortality	0	0	0	0	2	2
Inflammatory Bowel Diseases	0	0	0	0	2	2
Insulin	0	0	0	0	2	2
Insurance Claim Review	0	0	0	0	2	2
Intergenerational Relations	0	0	0	0	2	2
Joint Commission on Accreditation of Healthcare Organizations	0	0	0	0	2	2
Laryngoscopy	0	0	0	0	2	2
Man-Machine Systems	0	0	0	0	2	2
Mental Competency	0	0	0	0	2	2
Molecular Biology	0	0	0	0	2	2
Mood Disorders	0	0	0	0	2	2
Multilevel Analysis	0	0	0	0	2	2
Neuropsychological Tests	0	0	0	0	2	2
Neuropsychology	0	0	0	0	2	2
Nuclear Medicine	0	0	0	0	2	2
Nurse's Role	0	0	0	0	2	2
Nursing Staff, Hospital	0	0	0	0	2	2
Nutritional Requirements	0	0	0	0	2	2
Papillomaviridae	0	0	0	0	2	2
Paranasal Sinuses	0	0	0	0	2	2
Pattern Recognition, Physiological	0	0	0	0	2	2
Pelvic Floor	0	0	0	0	2	2
Perioperative Care	0	0	0	0	2	2
Pregnancy Complications	0	0	0	0	2	2
Psychology, Clinical	0	0	0	0	2	2
Reinforcement (Psychology)	0	0	0	0	2	2
Reproduction	0	0	0	0	2	2
Researcher-Subject Relations	0	0	0	0	2	2
Rome	0	0	0	0	2	2
Schools, Veterinary	0	0	0	0	2	2
Scientific Misconduct	0	0	0	0	2	2
Self-Help Groups	0	0	0	0	2	2
Sexual Dysfunctions, Psychological	0	0	0	0	2	2
Skin Ulcer	0	0	0	0	2	2
Social Marketing	0	0	0	0	2	2
Stents	0	0	0	0	2	2
Surgery, Computer-Assisted	0	0	0	0	2	2
Survival Analysis	0	0	0	0	2	2
Triglycerides	0	0	0	0	2	2
Veterans	0	0	0	0	2	2
Wound Healing	0	0	0	0	2	2
Western World	0	0	2	8	0	2
Acquired Immunodeficiency Syndrome	0	2	8	6	0	2
Insurance, Health	0	10	0	6	0	2
Education, Nursing, Continuing	0	6	0	6	0	2
Scandinavian and Nordic Countries	0	2	4	4	0	2
Brain Injuries	0	0	0	4	0	2
Cognitive Science	0	0	0	4	0	2
Transportation of Patients	0	0	0	4	0	2
Ethical Analysis	0	4	6	2	0	2
Biology	0	4	4	2	0	2
Capital Financing	0	0	4	2	0	2
Disability Evaluation	0	0	4	2	0	2
Regional Health Planning	0	2	2	2	0	2
Cerebrovascular Disorders	0	0	2	2	0	2
Character	0	0	2	2	0	2
Cholesterol	0	0	2	2	0	2
Multi-Institutional Systems	0	0	2	2	0	2
Refusal to Treat	0	0	2	2	0	2
Women's Rights	0	0	2	2	0	2
Chemistry	0	6	0	2	0	2
Medical Records, Problem-Oriented	0	6	0	2	0	2
Aerospace Medicine	0	4	0	2	0	2
African Continental Ancestry Group	0	2	0	2	0	2
Physical Therapy Modalities	0	2	0	2	0	2
South America	0	2	0	2	0	2
Technology Assessment, Biomedical	0	2	0	2	0	2
Urinary Tract Infections	0	2	0	2	0	2
Vocational Education	0	2	0	2	0	2
Antineoplastic Agents	0	0	0	2	0	2
Armenia	0	0	0	2	0	2
Biopsy, Needle	0	0	0	2	0	2
Blood Pressure Determination	0	0	0	2	0	2
Clothing	0	0	0	2	0	2
Discriminant Analysis	0	0	0	2	0	2
Drug and Narcotic Control	0	0	0	2	0	2
Human Development	0	0	0	2	0	2
Kidney Diseases	0	0	0	2	0	2
Leisure Activities	0	0	0	2	0	2
Lung Neoplasms	0	0	0	2	0	2
Medical Informatics Computing	0	0	0	2	0	2
Naval Medicine	0	0	0	2	0	2
Northwestern United States	0	0	0	2	0	2
Ownership	0	0	0	2	0	2
Pamphlets	0	0	0	2	0	2
Parenting	0	0	0	2	0	2
Reimbursement, Disproportionate Share	0	0	0	2	0	2
Relative Value Scales	0	0	0	2	0	2
Stethoscopes	0	0	0	2	0	2
Technology Transfer	0	0	0	2	0	2
Videodisc Recording	0	4	10	0	0	2
Contract Services	0	4	6	0	0	2
Patient Care Planning	0	14	4	0	0	2
Ukraine	0	4	4	0	0	2
Homosexuality	0	2	2	0	0	2
Cameroon	0	0	2	0	0	2
Compact Disks	0	0	2	0	0	2
Electrophysiology	0	0	2	0	0	2
Eligibility Determination	0	0	2	0	0	2
Ethical Review	0	0	2	0	0	2
Exhibits as Topic	0	0	2	0	0	2
Family Health	0	0	2	0	0	2
Heart	0	0	2	0	0	2
New Brunswick	0	0	2	0	0	2
Germany, West	0	12	0	0	0	2
Marriage	0	8	0	0	0	2
Schools, Health Occupations	0	8	0	0	0	2
Heart Defects, Congenital	0	6	0	0	0	2
Community Health Workers	0	4	0	0	0	2
Acid-Base Equilibrium	0	2	0	0	0	2
Affective Symptoms	0	2	0	0	0	2
Anesthetics	0	2	0	0	0	2
Anthropometry	0	2	0	0	0	2
Botany	0	2	0	0	0	2
Breast	0	2	0	0	0	2
Constitution and Bylaws	0	2	0	0	0	2
Diagnostic Tests, Routine	0	2	0	0	0	2
Drug-Related Side Effects and Adverse Reactions	0	2	0	0	0	2
Fiji	0	2	0	0	0	2
Fluorides	0	2	0	0	0	2
Imitative Behavior	0	2	0	0	0	2
Muscle Relaxants, Central	0	2	0	0	0	2
Nursing Care	0	2	0	0	0	2
Occupations	0	2	0	0	0	2
Pattern Recognition, Automated	0	2	0	0	0	2
Political Systems	0	2	0	0	0	2
Race Relations	0	2	0	0	0	2
Radiography	0	2	0	0	0	2
Self Disclosure	0	2	0	0	0	2
Students, Pharmacy	0	2	0	0	0	2
Suicide, Attempted	0	2	0	0	0	2
Surgicenters	0	2	0	0	0	2
Transfer (Psychology)	0	2	0	0	0	2
Absorptiometry, Photon	0	0	0	0	0	2
Acetabulum	0	0	0	0	0	2
Acromegaly	0	0	0	0	0	2
Adaptation, Physiological	0	0	0	0	0	2
Adipokines	0	0	0	0	0	2
Administration, Inhalation	0	0	0	0	0	2
Advance Care Planning	0	0	0	0	0	2
Adverse Drug Reaction Reporting Systems	0	0	0	0	0	2
Afghan Campaign 2001-	0	0	0	0	0	2
Africa, Eastern	0	0	0	0	0	2
Africa, Western	0	0	0	0	0	2
Ageism	0	0	0	0	0	2
Agonistic Behavior	0	0	0	0	0	2
Allergens	0	0	0	0	0	2
Almshouses	0	0	0	0	0	2
Altitude	0	0	0	0	0	2
Ambulances	0	0	0	0	0	2
American Recovery and Reinvestment Act	0	0	0	0	0	2
Amputation	0	0	0	0	0	2
Amputees	0	0	0	0	0	2
Amyotrophic Lateral Sclerosis	0	0	0	0	0	2
Analgesics, Non-Narcotic	0	0	0	0	0	2
Anaphylaxis	0	0	0	0	0	2
Anastomosis, Surgical	0	0	0	0	0	2
Andrology	0	0	0	0	0	2
Anemia, Iron-Deficiency	0	0	0	0	0	2
Anemia, Sickle Cell	0	0	0	0	0	2
Anesthesia, Dental	0	0	0	0	0	2
Anesthetics, Inhalation	0	0	0	0	0	2
Aneurysm, Ruptured	0	0	0	0	0	2
Angola	0	0	0	0	0	2
Ankle Joint	0	0	0	0	0	2
Annual Reports as Topic	0	0	0	0	0	2
Anterior Cruciate Ligament	0	0	0	0	0	2
Anterior Wall Myocardial Infarction	0	0	0	0	0	2
Antibodies, Monoclonal	0	0	0	0	0	2
Anticoagulants	0	0	0	0	0	2
Antiemetics	0	0	0	0	0	2
Antimanic Agents	0	0	0	0	0	2
Antitubercular Agents	0	0	0	0	0	2
Aorta	0	0	0	0	0	2
Aorta, Abdominal	0	0	0	0	0	2
Aortic Diseases	0	0	0	0	0	2
Aortic Rupture	0	0	0	0	0	2
Aphorisms and Proverbs as Topic	0	0	0	0	0	2
Arm	0	0	0	0	0	2
Art Therapy	0	0	0	0	0	2
Arthroplasty, Replacement, Knee	0	0	0	0	0	2
Asepsis	0	0	0	0	0	2
Asperger Syndrome	0	0	0	0	0	2
Asphyxia Neonatorum	0	0	0	0	0	2
Atlanto-Axial Joint	0	0	0	0	0	2
Atrial Fibrillation	0	0	0	0	0	2
Auditory Perception	0	0	0	0	0	2
Automobile Driver Examination	0	0	0	0	0	2
Automobiles	0	0	0	0	0	2
Autonomic Nervous System	0	0	0	0	0	2
Axis	0	0	0	0	0	2
Baclofen	0	0	0	0	0	2
Balneology	0	0	0	0	0	2
Bariatric Surgery	0	0	0	0	0	2
Basal Ganglia	0	0	0	0	0	2
Behaviorism	0	0	0	0	0	2
Biodiversity	0	0	0	0	0	2
Biological Products	0	0	0	0	0	2
Biomedical Engineering	0	0	0	0	0	2
Biotechnology	0	0	0	0	0	2
Blast Injuries	0	0	0	0	0	2
Blood Pressure Monitoring, Ambulatory	0	0	0	0	0	2
Blood Substitutes	0	0	0	0	0	2
Blood Vessel Prosthesis Implantation	0	0	0	0	0	2
Bone Screws	0	0	0	0	0	2
Borderline Personality Disorder	0	0	0	0	0	2
Boredom	0	0	0	0	0	2
Botswana	0	0	0	0	0	2
Botulinum Toxins	0	0	0	0	0	2
Botulinum Toxins, Type A	0	0	0	0	0	2
Brain Edema	0	0	0	0	0	2
Breakthrough Pain	0	0	0	0	0	2
Brief Psychiatric Rating Scale	0	0	0	0	0	2
Buddhism	0	0	0	0	0	2
Buprenorphine	0	0	0	0	0	2
Burial	0	0	0	0	0	2
Cambodia	0	0	0	0	0	2
Cannabinoids	0	0	0	0	0	2
Capsulorhexis	0	0	0	0	0	2
Carcinoma, Squamous Cell	0	0	0	0	0	2
Cardia	0	0	0	0	0	2
Cardiac Resynchronization Therapy	0	0	0	0	0	2
Cardiopulmonary Bypass	0	0	0	0	0	2
Cariostatic Agents	0	0	0	0	0	2
Carpal Tunnel Syndrome	0	0	0	0	0	2
Cataract Extraction	0	0	0	0	0	2
Catheter Ablation	0	0	0	0	0	2
Catheterization, Swan-Ganz	0	0	0	0	0	2
Cell- and Tissue-Based Therapy	0	0	0	0	0	2
Cervical Atlas	0	0	0	0	0	2
Chest Tubes	0	0	0	0	0	2
Child Behavior Disorders	0	0	0	0	0	2
Cholecystectomy	0	0	0	0	0	2
Circadian Rhythm	0	0	0	0	0	2
Cities	0	0	0	0	0	2
Civil Defense	0	0	0	0	0	2
Clinical Governance	0	0	0	0	0	2
Commission on Professional and Hospital Activities	0	0	0	0	0	2
Commitment of Mentally Ill	0	0	0	0	0	2
Commodification	0	0	0	0	0	2
Common Cold	0	0	0	0	0	2
Comparative Effectiveness Research	0	0	0	0	0	2
Compliance	0	0	0	0	0	2
Computational Biology	0	0	0	0	0	2
Congenital Abnormalities	0	0	0	0	0	2
Constipation	0	0	0	0	0	2
Consumer Advocacy	0	0	0	0	0	2
Continuous Positive Airway Pressure	0	0	0	0	0	2
Contraceptives, Oral	0	0	0	0	0	2
Controlled Before-After Studies	0	0	0	0	0	2
Cornea	0	0	0	0	0	2
Corneal Diseases	0	0	0	0	0	2
Coronary Angiography	0	0	0	0	0	2
Correspondence as Topic	0	0	0	0	0	2
Cosmetic Techniques	0	0	0	0	0	2
Cranial Irradiation	0	0	0	0	0	2
Crimean War	0	0	0	0	0	2
Critical Care Nursing	0	0	0	0	0	2
Crowding	0	0	0	0	0	2
Crowdsourcing	0	0	0	0	0	2
Cyclonic Storms	0	0	0	0	0	2
Cyprus	0	0	0	0	0	2
Cystic Fibrosis	0	0	0	0	0	2
Cytodiagnosis	0	0	0	0	0	2
Death, Sudden, Cardiac	0	0	0	0	0	2
Deception	0	0	0	0	0	2
Defibrillators, Implantable	0	0	0	0	0	2
Delegation, Professional	0	0	0	0	0	2
Democratic People's Republic of Korea	0	0	0	0	0	2
Dental Instruments	0	0	0	0	0	2
Dentifrices	0	0	0	0	0	2
Depression, Postpartum	0	0	0	0	0	2
Dermatitis, Atopic	0	0	0	0	0	2
Dermatologic Surgical Procedures	0	0	0	0	0	2
Developmental Disabilities	0	0	0	0	0	2
Device Approval	0	0	0	0	0	2
Diabetes Complications	0	0	0	0	0	2
Diabetic Retinopathy	0	0	0	0	0	2
Diagnosis, Oral	0	0	0	0	0	2
Diagnostic and Statistical Manual of Mental Disorders	0	0	0	0	0	2
Dilatation and Curettage	0	0	0	0	0	2
Directive Counseling	0	0	0	0	0	2
Directly Observed Therapy	0	0	0	0	0	2
Disorders of Excessive Somnolence	0	0	0	0	0	2
Dissent and Disputes	0	0	0	0	0	2
Djibouti	0	0	0	0	0	2
Drainage	0	0	0	0	0	2
Drug Compounding	0	0	0	0	0	2
Drug Labeling	0	0	0	0	0	2
Drug Overdose	0	0	0	0	0	2
Drug Therapy, Computer-Assisted	0	0	0	0	0	2
Ductus Arteriosus	0	0	0	0	0	2
Durable Medical Equipment	0	0	0	0	0	2
Earthquakes	0	0	0	0	0	2
Eating	0	0	0	0	0	2
Ecuador	0	0	0	0	0	2
Education, Professional, Retraining	0	0	0	0	0	2
Education, Special	0	0	0	0	0	2
Elastomers	0	0	0	0	0	2
Elbow Joint	0	0	0	0	0	2
Electric Conductivity	0	0	0	0	0	2
Electrochemotherapy	0	0	0	0	0	2
Electrodes	0	0	0	0	0	2
Electromagnetic Fields	0	0	0	0	0	2
Electroporation	0	0	0	0	0	2
Empiricism	0	0	0	0	0	2
Encephalitis	0	0	0	0	0	2
Endarterectomy, Carotid	0	0	0	0	0	2
Endemic Diseases	0	0	0	0	0	2
Endocrinology	0	0	0	0	0	2
Endosonography	0	0	0	0	0	2
Environmental Pollution	0	0	0	0	0	2
Epilepsy, Tonic-Clonic	0	0	0	0	0	2
Equipment Safety	0	0	0	0	0	2
Eritrea	0	0	0	0	0	2
Erotica	0	0	0	0	0	2
Esophageal Diseases	0	0	0	0	0	2
Esophagoscopy	0	0	0	0	0	2
Estrogen Replacement Therapy	0	0	0	0	0	2
Ethanol	0	0	0	0	0	2
Ether	0	0	0	0	0	2
Eugenics	0	0	0	0	0	2
Exercise Therapy	0	0	0	0	0	2
Facial Expression	0	0	0	0	0	2
Fallopian Tubes	0	0	0	0	0	2
Fatigue Syndrome, Chronic	0	0	0	0	0	2
Fetal Alcohol Spectrum Disorders	0	0	0	0	0	2
Fetal Diseases	0	0	0	0	0	2
Fires	0	0	0	0	0	2
Fluorosis, Dental	0	0	0	0	0	2
Food Habits	0	0	0	0	0	2
Food Hypersensitivity	0	0	0	0	0	2
Fracture Fixation	0	0	0	0	0	2
Fractures, Bone	0	0	0	0	0	2
French Revolution	0	0	0	0	0	2
Friends	0	0	0	0	0	2
Frontotemporal Dementia	0	0	0	0	0	2
Frustration	0	0	0	0	0	2
Gait	0	0	0	0	0	2
Gait Disorders, Neurologic	0	0	0	0	0	2
Game Theory	0	0	0	0	0	2
Gastric Bypass	0	0	0	0	0	2
Genetic Association Studies	0	0	0	0	0	2
Genetic Diseases, Inborn	0	0	0	0	0	2
Genotype	0	0	0	0	0	2
Genotyping Techniques	0	0	0	0	0	2
Geographic Information Systems	0	0	0	0	0	2
Georgia (Republic)	0	0	0	0	0	2
Gestures	0	0	0	0	0	2
Ghrelin	0	0	0	0	0	2
Glucocorticoids	0	0	0	0	0	2
Gonorrhea	0	0	0	0	0	2
Growth Charts	0	0	0	0	0	2
Guam	0	0	0	0	0	2
Guilt	0	0	0	0	0	2
Guinea-Bissau	0	0	0	0	0	2
Gynecologic Surgical Procedures	0	0	0	0	0	2
Haiti	0	0	0	0	0	2
Hand Disinfection	0	0	0	0	0	2
Handwriting	0	0	0	0	0	2
Headache Disorders, Primary	0	0	0	0	0	2
Health Communication	0	0	0	0	0	2
Health Facility Administration	0	0	0	0	0	2
Health Impact Assessment	0	0	0	0	0	2
Health Information Management	0	0	0	0	0	2
Health Physics	0	0	0	0	0	2
Health Resorts	0	0	0	0	0	2
Hemorrhage	0	0	0	0	0	2
Hemorrhoids	0	0	0	0	0	2
Herbal Medicine	0	0	0	0	0	2
Heterosexuality	0	0	0	0	0	2
Histamine Antagonists	0	0	0	0	0	2
History of Dentistry	0	0	0	0	0	2
Holocaust	0	0	0	0	0	2
Hospital Charges	0	0	0	0	0	2
Hospital Communication Systems	0	0	0	0	0	2
Hospital Medicine	0	0	0	0	0	2
Hospitals, High-Volume	0	0	0	0	0	2
Hospitals, Maternity	0	0	0	0	0	2
Hot Flashes	0	0	0	0	0	2
Hotlines	0	0	0	0	0	2
Human Body	0	0	0	0	0	2
Human Characteristics	0	0	0	0	0	2
Human Rights Abuses	0	0	0	0	0	2
Hyperglycemia	0	0	0	0	0	2
Hypertension, Pulmonary	0	0	0	0	0	2
Hypertriglyceridemia	0	0	0	0	0	2
Hypoglycemia	0	0	0	0	0	2
Hypokalemia	0	0	0	0	0	2
Hypotension	0	0	0	0	0	2
Hysterectomy, Vaginal	0	0	0	0	0	2
Inappropriate Prescribing	0	0	0	0	0	2
Independent Living	0	0	0	0	0	2
Indian Ocean	0	0	0	0	0	2
Indian Ocean Islands	0	0	0	0	0	2
Infant, Premature	0	0	0	0	0	2
Infant, Premature, Diseases	0	0	0	0	0	2
Infectious Disease Medicine	0	0	0	0	0	2
Influenza A Virus, H1N1 Subtype	0	0	0	0	0	2
Influenza A Virus, H5N1 Subtype	0	0	0	0	0	2
Influenza, Human	0	0	0	0	0	2
Information Literacy	0	0	0	0	0	2
Infusions, Intravenous	0	0	0	0	0	2
Injections	0	0	0	0	0	2
Injections, Intra-Arterial	0	0	0	0	0	2
Injections, Intravenous	0	0	0	0	0	2
Injections, Spinal	0	0	0	0	0	2
Insurance Carriers	0	0	0	0	0	2
Intercostal Nerves	0	0	0	0	0	2
Intestine, Small	0	0	0	0	0	2
Intracranial Aneurysm	0	0	0	0	0	2
Intubation, Gastrointestinal	0	0	0	0	0	2
Intussusception	0	0	0	0	0	2
Inventions	0	0	0	0	0	2
Iraq War, 2003-2011	0	0	0	0	0	2
Irritable Bowel Syndrome	0	0	0	0	0	2
Joints	0	0	0	0	0	2
Jordan	0	0	0	0	0	2
Journalism, Dental	0	0	0	0	0	2
Keratomileusis, Laser In Situ	0	0	0	0	0	2
Keratosis, Seborrheic	0	0	0	0	0	2
Kidney Failure, Chronic	0	0	0	0	0	2
Knowledge Management	0	0	0	0	0	2
Labor Unions	0	0	0	0	0	2
Lacerations	0	0	0	0	0	2
Laparoscopes	0	0	0	0	0	2
Laryngeal Muscles	0	0	0	0	0	2
Laser Coagulation	0	0	0	0	0	2
Laser Therapy	0	0	0	0	0	2
Lasers, Excimer	0	0	0	0	0	2
Law Enforcement	0	0	0	0	0	2
Leptin	0	0	0	0	0	2
Library Associations	0	0	0	0	0	2
Libya	0	0	0	0	0	2
Life Expectancy	0	0	0	0	0	2
Location Directories and Signs	0	0	0	0	0	2
Lumbar Vertebrae	0	0	0	0	0	2
Lymph Nodes	0	0	0	0	0	2
Lymphoma	0	0	0	0	0	2
Machiavellianism	0	0	0	0	0	2
Magnetic Resonance Imaging, Cine	0	0	0	0	0	2
Maine	0	0	0	0	0	2
Mali	0	0	0	0	0	2
Mammaplasty	0	0	0	0	0	2
Manometry	0	0	0	0	0	2
Mass Media	0	0	0	0	0	2
Mastectomy	0	0	0	0	0	2
Mastoid	0	0	0	0	0	2
Mathematical Computing	0	0	0	0	0	2
Medical Marijuana	0	0	0	0	0	2
Medical Order Entry Systems	0	0	0	0	0	2
Medicine, Korean Traditional	0	0	0	0	0	2
Meditation	0	0	0	0	0	2
Mediterranean Region	0	0	0	0	0	2
Memory Disorders	0	0	0	0	0	2
Meningeal Neoplasms	0	0	0	0	0	2
Meningioma	0	0	0	0	0	2
Metabolic Syndrome X	0	0	0	0	0	2
Metabolome	0	0	0	0	0	2
Metaphysics	0	0	0	0	0	2
Mice	0	0	0	0	0	2
Military Facilities	0	0	0	0	0	2
Mobile Health Units	0	0	0	0	0	2
Models, Cardiovascular	0	0	0	0	0	2
Mohs Surgery	0	0	0	0	0	2
Motivational Interviewing	0	0	0	0	0	2
Mouth Neoplasms	0	0	0	0	0	2
Movement	0	0	0	0	0	2
Multicenter Studies as Topic	0	0	0	0	0	2
Muscle Spasticity	0	0	0	0	0	2
Musculoskeletal Abnormalities	0	0	0	0	0	2
Myocardial Contraction	0	0	0	0	0	2
Nails	0	0	0	0	0	2
Narcotic Antagonists	0	0	0	0	0	2
Neoplasm Metastasis	0	0	0	0	0	2
Netherlands Antilles	0	0	0	0	0	2
Neurobiology	0	0	0	0	0	2
Neuroimaging	0	0	0	0	0	2
Neuromuscular Diseases	0	0	0	0	0	2
Nicotine	0	0	0	0	0	2
Nurse Anesthetists	0	0	0	0	0	2
Nurse Midwives	0	0	0	0	0	2
Nurses, Community Health	0	0	0	0	0	2
Nursing Evaluation Research	0	0	0	0	0	2
Nutritional Support	0	0	0	0	0	2
Obstetric Surgical Procedures	0	0	0	0	0	2
Oceania	0	0	0	0	0	2
Ophthalmoscopes	0	0	0	0	0	2
Ophthalmoscopy	0	0	0	0	0	2
Opiate Substitution Treatment	0	0	0	0	0	2
Optic Nerve Diseases	0	0	0	0	0	2
Organ Preservation	0	0	0	0	0	2
Orientation	0	0	0	0	0	2
Otoscopy	0	0	0	0	0	2
Pacemaker, Artificial	0	0	0	0	0	2
Pacifiers	0	0	0	0	0	2
Pancreas	0	0	0	0	0	2
Pandemics	0	0	0	0	0	2
Papillomavirus Vaccines	0	0	0	0	0	2
Parasitology	0	0	0	0	0	2
Parkinson Disease	0	0	0	0	0	2
Pathology, Molecular	0	0	0	0	0	2
Patient Outcome Assessment	0	0	0	0	0	2
Pediatric Assistants	0	0	0	0	0	2
Pediatric Obesity	0	0	0	0	0	2
Penicillin V	0	0	0	0	0	2
Percutaneous Coronary Intervention	0	0	0	0	0	2
Performance Anxiety	0	0	0	0	0	2
Pericardiocentesis	0	0	0	0	0	2
Perinatal Care	0	0	0	0	0	2
Personnel Delegation	0	0	0	0	0	2
Personnel Staffing and Scheduling Information Systems	0	0	0	0	0	2
Pharmaceutical Services	0	0	0	0	0	2
Pharmacogenetics	0	0	0	0	0	2
Pharmacovigilance	0	0	0	0	0	2
Philately	0	0	0	0	0	2
Philology	0	0	0	0	0	2
Photochemotherapy	0	0	0	0	0	2
Physiognomy	0	0	0	0	0	2
Piperazines	0	0	0	0	0	2
Plants	0	0	0	0	0	2
Platelet Aggregation Inhibitors	0	0	0	0	0	2
Pneumonectomy	0	0	0	0	0	2
Pneumothorax	0	0	0	0	0	2
Policy	0	0	0	0	0	2
Polymorphism, Single Nucleotide	0	0	0	0	0	2
Population Density	0	0	0	0	0	2
Population Groups	0	0	0	0	0	2
Posters as Topic	0	0	0	0	0	2
Postoperative Nausea and Vomiting	0	0	0	0	0	2
Practice Valuation and Purchase	0	0	0	0	0	2
Pregnancy Trimester, Second	0	0	0	0	0	2
Premature Ejaculation	0	0	0	0	0	2
Prepaid Health Plans	0	0	0	0	0	2
Probability Theory	0	0	0	0	0	2
Prostheses and Implants	0	0	0	0	0	2
Psychiatric Department, Hospital	0	0	0	0	0	2
Psycholinguistics	0	0	0	0	0	2
Psychotherapy, Brief	0	0	0	0	0	2
Psychotherapy, Psychodynamic	0	0	0	0	0	2
Puerperal Infection	0	0	0	0	0	2
Punctures	0	0	0	0	0	2
Purines	0	0	0	0	0	2
Quality-Adjusted Life Years	0	0	0	0	0	2
Rabbits	0	0	0	0	0	2
Racism	0	0	0	0	0	2
Radio	0	0	0	0	0	2
Radio Frequency Identification Device	0	0	0	0	0	2
Radioactive Fallout	0	0	0	0	0	2
Radiography, Abdominal	0	0	0	0	0	2
Radiosurgery	0	0	0	0	0	2
Radiotherapy Planning, Computer-Assisted	0	0	0	0	0	2
Radiotherapy, Adjuvant	0	0	0	0	0	2
Rare Diseases	0	0	0	0	0	2
Recovery of Function	0	0	0	0	0	2
Reference Values	0	0	0	0	0	2
Regenerative Medicine	0	0	0	0	0	2
Regression (Psychology)	0	0	0	0	0	2
Religion and Psychology	0	0	0	0	0	2
Respiratory Insufficiency	0	0	0	0	0	2
Robotic Surgical Procedures	0	0	0	0	0	2
Safety-net Providers	0	0	0	0	0	2
Schools, Pharmacy	0	0	0	0	0	2
Scleral Buckling	0	0	0	0	0	2
Scoliosis	0	0	0	0	0	2
Selection, Genetic	0	0	0	0	0	2
Sentinel Lymph Node Biopsy	0	0	0	0	0	2
Serotonin Plasma Membrane Transport Proteins	0	0	0	0	0	2
Sex Offenses	0	0	0	0	0	2
Sex Ratio	0	0	0	0	0	2
Sexual Partners	0	0	0	0	0	2
Sheep	0	0	0	0	0	2
Shock, Cardiogenic	0	0	0	0	0	2
Short Bowel Syndrome	0	0	0	0	0	2
Shoulder Joint	0	0	0	0	0	2
Sick Leave	0	0	0	0	0	2
Sign Language	0	0	0	0	0	2
Skin	0	0	0	0	0	2
Skin Diseases, Parasitic	0	0	0	0	0	2
Sleep Stages	0	0	0	0	0	2
Social Determinants of Health	0	0	0	0	0	2
Social Discrimination	0	0	0	0	0	2
Social Distance	0	0	0	0	0	2
Social Stigma	0	0	0	0	0	2
Somalia	0	0	0	0	0	2
Spatial Analysis	0	0	0	0	0	2
Spinal Dysraphism	0	0	0	0	0	2
Spinal Fusion	0	0	0	0	0	2
Spine	0	0	0	0	0	2
Sports	0	0	0	0	0	2
